EPOCH=1,accges= 77.673%,accges1= 62.777%
EPOCH=2,accges= 78.031%,accges1= 76.728%
EPOCH=3,accges= 82.073%,accges1= 79.694%
EPOCH=4,accges= 83.996%,accges1= 80.313%
EPOCH=5,accges= 83.149%,accges1= 80.085%
EPOCH=6,accges= 84.224%,accges1= 81.128%
EPOCH=7,accges= 84.029%,accges1= 81.160%
EPOCH=8,accges= 83.996%,accges1= 82.008%
EPOCH=9,accges= 83.572%,accges1= 83.638%
EPOCH=10,accges= 85.137%,accges1= 83.214%
EPOCH=11,accges= 86.538%,accges1= 84.452%
EPOCH=12,accges= 86.506%,accges1= 84.974%
EPOCH=13,accges= 86.538%,accges1= 85.072%
EPOCH=14,accges= 86.343%,accges1= 85.137%
EPOCH=15,accges= 86.506%,accges1= 85.007%
EPOCH=16,accges= 86.375%,accges1= 85.104%
EPOCH=17,accges= 86.441%,accges1= 85.202%
EPOCH=18,accges= 86.473%,accges1= 84.909%
EPOCH=19,accges= 86.571%,accges1= 84.844%
EPOCH=20,accges= 86.375%,accges1= 84.811%
EPOCH=21,accges= 86.636%,accges1= 84.876%
EPOCH=22,accges= 86.734%,accges1= 84.844%
EPOCH=23,accges= 86.571%,accges1= 84.941%
EPOCH=24,accges= 86.441%,accges1= 84.844%
EPOCH=25,accges= 86.701%,accges1= 84.974%
EPOCH=26,accges= 86.864%,accges1= 84.876%
EPOCH=27,accges= 86.506%,accges1= 84.811%
EPOCH=28,accges= 86.604%,accges1= 84.746%
EPOCH=29,accges= 86.604%,accges1= 84.778%
EPOCH=30,accges= 86.799%,accges1= 85.039%
